method;N;M;threads;chunkSize;ExecutingTime;
Dynamic;10;10;1;1;5.56e-06;
Dynamic;10;10;2;1;8.926e-06;
Dynamic;10;10;3;1;5.62e-06;
Dynamic;10;10;4;1;5.47e-06;
Dynamic;10;10;5;1;4.769e-06;
Dynamic;10;10;6;1;9.678e-06;
Dynamic;10;10;7;1;3.6128e-05;
Dynamic;10;10;8;1;9.628e-06;
Dynamic;20;20;1;1;3.7139e-05;
Dynamic;20;20;1;11;3.6739e-05;
Dynamic;20;20;2;1;3.225e-05;
Dynamic;20;20;2;11;2.2753e-05;
Dynamic;20;20;3;1;1.59e-05;
Dynamic;20;20;3;11;4.3491e-05;
Dynamic;20;20;4;1;7.8656e-05;
Dynamic;20;20;4;11;4.9593e-05;
Dynamic;20;20;5;1;1.2794e-05;
Dynamic;20;20;5;11;2.179e-05;
Dynamic;20;20;6;1;1.1682e-05;
Dynamic;20;20;6;11;2.2232e-05;
Dynamic;20;20;7;1;0.00246598;
Dynamic;20;20;7;11;2.3053e-05;
Dynamic;20;20;8;1;0.00183538;
Dynamic;20;20;8;11;2.2202e-05;
Dynamic;30;30;1;1;0.000131976;
Dynamic;30;30;1;11;0.000128179;
Dynamic;30;30;1;21;0.000117158;
Dynamic;30;30;2;1;9.7281e-05;
Dynamic;30;30;2;11;8.567e-05;
Dynamic;30;30;2;21;8.2664e-05;
Dynamic;30;30;3;1;4.5545e-05;
Dynamic;30;30;3;11;4.5735e-05;
Dynamic;30;30;3;21;8.2965e-05;
Dynamic;30;30;4;1;4.0796e-05;
Dynamic;30;30;4;11;7.0361e-05;
Dynamic;30;30;4;21;8.4207e-05;
Dynamic;30;30;5;1;3.4705e-05;
Dynamic;30;30;5;11;0.000545788;
Dynamic;30;30;5;21;8.4788e-05;
Dynamic;30;30;6;1;3.1208e-05;
Dynamic;30;30;6;11;8.1853e-05;
Dynamic;30;30;6;21;8.3826e-05;
Dynamic;30;30;7;1;4.1297e-05;
Dynamic;30;30;7;11;4.5685e-05;
Dynamic;30;30;7;21;8.5019e-05;
Dynamic;30;30;8;1;0.0118834;
Dynamic;30;30;8;11;0.00260738;
Dynamic;30;30;8;21;9.8805e-05;
Dynamic;40;40;1;1;0.000282096;
Dynamic;40;40;1;11;0.000272849;
Dynamic;40;40;1;21;0.000272999;
Dynamic;40;40;1;31;0.000272398;
Dynamic;40;40;2;1;0.000184173;
Dynamic;40;40;2;11;0.000151903;
Dynamic;40;40;2;21;0.000220291;
Dynamic;40;40;2;31;0.000213448;
Dynamic;40;40;3;1;0.0010029;
Dynamic;40;40;3;11;0.000123731;
Dynamic;40;40;3;21;0.00014469;
Dynamic;40;40;3;31;0.000212887;
Dynamic;40;40;4;1;7.6903e-05;
Dynamic;40;40;4;11;7.6343e-05;
Dynamic;40;40;4;21;0.000158506;
Dynamic;40;40;4;31;0.000213258;
Dynamic;40;40;5;1;7.509e-05;
Dynamic;40;40;5;11;7.7705e-05;
Dynamic;40;40;5;21;0.000289109;
Dynamic;40;40;5;31;0.000217455;
Dynamic;40;40;6;1;0.00015;
Dynamic;40;40;6;11;7.8797e-05;
Dynamic;40;40;6;21;0.00014483;
Dynamic;40;40;6;31;0.000239607;
Dynamic;40;40;7;1;0.000244557;
Dynamic;40;40;7;11;0.00013961;
Dynamic;40;40;7;21;0.00014487;
Dynamic;40;40;7;31;0.000374559;
Dynamic;40;40;8;1;0.0124503;
Dynamic;40;40;8;11;7.8005e-05;
Dynamic;40;40;8;21;0.000148527;
Dynamic;40;40;8;31;0.000213808;
Dynamic;50;50;1;1;0.000545327;
Dynamic;50;50;1;11;0.000536621;
Dynamic;50;50;1;21;0.000550697;
Dynamic;50;50;1;31;0.000549204;
Dynamic;50;50;1;41;0.00063816;
Dynamic;50;50;2;1;0.000334874;
Dynamic;50;50;2;11;0.000307944;
Dynamic;50;50;2;21;0.000327812;
Dynamic;50;50;2;31;0.000360573;
Dynamic;50;50;2;41;0.00047167;
Dynamic;50;50;3;1;0.000189182;
Dynamic;50;50;3;11;0.000242963;
Dynamic;50;50;3;21;0.000234397;
Dynamic;50;50;3;31;0.000344543;
Dynamic;50;50;3;41;0.000468373;
Dynamic;50;50;4;1;0.000163615;
Dynamic;50;50;4;11;0.000190736;
Dynamic;50;50;4;21;0.000258191;
Dynamic;50;50;4;31;0.000328132;
Dynamic;50;50;4;41;0.000446513;
Dynamic;50;50;5;1;0.000115506;
Dynamic;50;50;5;11;0.000194383;
Dynamic;50;50;5;21;0.000239778;
Dynamic;50;50;5;31;0.000338391;
Dynamic;50;50;5;41;0.000435212;
Dynamic;50;50;6;1;9.9796e-05;
Dynamic;50;50;6;11;0.000119353;
Dynamic;50;50;6;21;0.000233295;
Dynamic;50;50;6;31;0.000339714;
Dynamic;50;50;6;41;0.00561908;
Dynamic;50;50;7;1;0.000177721;
Dynamic;50;50;7;11;0.000124542;
Dynamic;50;50;7;21;0.000229287;
Dynamic;50;50;7;31;0.000328172;
Dynamic;50;50;7;41;0.000442716;
Dynamic;50;50;8;1;0.0076133;
Dynamic;50;50;8;11;0.0103528;
Dynamic;50;50;8;21;0.0123793;
Dynamic;50;50;8;31;0.000341317;
Dynamic;50;50;8;41;0.000446964;
Dynamic;60;60;1;1;0.000951033;
Dynamic;60;60;1;11;0.00151766;
Dynamic;60;60;1;21;0.000961844;
Dynamic;60;60;1;31;0.0009864;
Dynamic;60;60;1;41;0.000987963;
Dynamic;60;60;1;51;0.0009966;
Dynamic;60;60;2;1;0.000614897;
Dynamic;60;60;2;11;0.000510643;
Dynamic;60;60;2;21;0.000595872;
Dynamic;60;60;2;31;0.000507056;
Dynamic;60;60;2;41;0.0011908;
Dynamic;60;60;2;51;0.000844224;
Dynamic;60;60;3;1;0.000333692;
Dynamic;60;60;3;11;0.000335526;
Dynamic;60;60;3;21;0.000338822;
Dynamic;60;60;3;31;0.000478012;
Dynamic;60;60;3;41;0.000661053;
Dynamic;60;60;3;51;0.000802606;
Dynamic;60;60;4;1;0.000248242;
Dynamic;60;60;4;11;0.000344072;
Dynamic;60;60;4;21;0.000373917;
Dynamic;60;60;4;31;0.000617903;
Dynamic;60;60;4;41;0.000631869;
Dynamic;60;60;4;51;0.000814619;
Dynamic;60;60;5;1;0.00020354;
Dynamic;60;60;5;11;0.000254595;
Dynamic;60;60;5;21;0.00048813;
Dynamic;60;60;5;31;0.000484183;
Dynamic;60;60;5;41;0.000650012;
Dynamic;60;60;5;51;0.000790414;
Dynamic;60;60;6;1;0.000172432;
Dynamic;60;60;6;11;0.000186178;
Dynamic;60;60;6;21;0.000338421;
Dynamic;60;60;6;31;0.000523076;
Dynamic;60;60;6;41;0.000631328;
Dynamic;60;60;6;51;0.000801244;
Dynamic;60;60;7;1;0.000181578;
Dynamic;60;60;7;11;0.000169917;
Dynamic;60;60;7;21;0.000344683;
Dynamic;60;60;7;31;0.00107844;
Dynamic;60;60;7;41;0.000645765;
Dynamic;60;60;7;51;0.00093229;
Dynamic;60;60;8;1;0.00636931;
Dynamic;60;60;8;11;0.000199442;
Dynamic;60;60;8;21;0.000406479;
Dynamic;60;60;8;31;0.000504101;
Dynamic;60;60;8;41;0.000639142;
Dynamic;60;60;8;51;0.000797588;
Dynamic;70;70;1;1;0.00149779;
Dynamic;70;70;1;11;0.00154203;
Dynamic;70;70;1;21;0.00154955;
Dynamic;70;70;1;31;0.0015399;
Dynamic;70;70;1;41;0.00156041;
Dynamic;70;70;1;51;0.00157221;
Dynamic;70;70;1;61;0.00165408;
Dynamic;70;70;2;1;0.000815111;
Dynamic;70;70;2;11;0.000772932;
Dynamic;70;70;2;21;0.000875032;
Dynamic;70;70;2;31;0.00122808;
Dynamic;70;70;2;41;0.00088985;
Dynamic;70;70;2;51;0.00122646;
Dynamic;70;70;2;61;0.00136353;
Dynamic;70;70;3;1;0.000506454;
Dynamic;70;70;3;11;0.00054685;
Dynamic;70;70;3;21;0.000606732;
Dynamic;70;70;3;31;0.00072898;
Dynamic;70;70;3;41;0.0012758;
Dynamic;70;70;3;51;0.00110251;
Dynamic;70;70;3;61;0.00127234;
Dynamic;70;70;4;1;0.000618443;
Dynamic;70;70;4;11;0.0004824;
Dynamic;70;70;4;21;0.000455971;
Dynamic;70;70;4;31;0.000644412;
Dynamic;70;70;4;41;0.00101798;
Dynamic;70;70;4;51;0.00117087;
Dynamic;70;70;4;61;0.00128536;
Dynamic;70;70;5;1;0.000307634;
Dynamic;70;70;5;11;0.000460619;
Dynamic;70;70;5;21;0.000785946;
Dynamic;70;70;5;31;0.000657327;
Dynamic;70;70;5;41;0.000862899;
Dynamic;70;70;5;51;0.00106514;
Dynamic;70;70;5;61;0.001299;
Dynamic;70;70;6;1;0.000866977;
Dynamic;70;70;6;11;0.000328132;
Dynamic;70;70;6;21;0.000451052;
Dynamic;70;70;6;31;0.000675791;
Dynamic;70;70;6;41;0.000859373;
Dynamic;70;70;6;51;0.00107703;
Dynamic;70;70;6;61;0.00126439;
Dynamic;70;70;7;1;0.000262811;
Dynamic;70;70;7;11;0.000327141;
Dynamic;70;70;7;21;0.000467172;
Dynamic;70;70;7;31;0.00236413;
Dynamic;70;70;7;41;0.000870754;
Dynamic;70;70;7;51;0.00113631;
Dynamic;70;70;7;61;0.00136049;
Dynamic;70;70;8;1;0.000196076;
Dynamic;70;70;8;11;0.000236241;
Dynamic;70;70;8;21;0.000452855;
Dynamic;70;70;8;31;0.000652798;
Dynamic;70;70;8;41;0.000849665;
Dynamic;70;70;8;51;0.00197641;
Dynamic;70;70;8;61;0.00127522;
Dynamic;80;80;1;1;0.00256751;
Dynamic;80;80;1;11;0.0024004;
