method;N;M;threads;chunkSize;ExecutingTime;
Guided;10;10;1;1;4.959e-06;
Guided;10;10;2;1;3.166e-06;
Guided;10;10;3;1;2.955e-06;
Guided;10;10;4;1;3.687e-06;
Guided;10;10;5;1;4.178e-06;
Guided;10;10;6;1;4.359e-06;
Guided;10;10;7;1;5.19e-06;
Guided;10;10;8;1;0.0183335;
Guided;20;20;1;1;3.6228e-05;
Guided;20;20;1;11;3.6047e-05;
Guided;20;20;2;1;1.9026e-05;
Guided;20;20;2;11;2.7682e-05;
Guided;20;20;3;1;1.5268e-05;
Guided;20;20;3;11;2.1821e-05;
Guided;20;20;4;1;1.1892e-05;
Guided;20;20;4;11;2.2031e-05;
Guided;20;20;5;1;9.508e-06;
Guided;20;20;5;11;2.3624e-05;
Guided;20;20;6;1;1.061e-05;
Guided;20;20;6;11;3.5486e-05;
Guided;20;20;7;1;0.0202189;
Guided;20;20;7;11;0.000143658;
Guided;20;20;8;1;0.0234055;
Guided;20;20;8;11;0.0124488;
Guided;30;30;1;1;0.000116718;
Guided;30;30;1;11;0.000116658;
Guided;30;30;1;21;0.000116236;
Guided;30;30;2;1;8.8555e-05;
Guided;30;30;2;11;6.952e-05;
Guided;30;30;2;21;8.3696e-05;
Guided;30;30;3;1;4.0846e-05;
Guided;30;30;3;11;4.4182e-05;
Guided;30;30;3;21;0.000104875;
Guided;30;30;4;1;3.4434e-05;
Guided;30;30;4;11;4.4744e-05;
Guided;30;30;4;21;0.000102932;
Guided;30;30;5;1;2.689e-05;
Guided;30;30;5;11;4.5314e-05;
Guided;30;30;5;21;8.3446e-05;
Guided;30;30;6;1;3.3182e-05;
Guided;30;30;6;11;8.3085e-05;
Guided;30;30;6;21;0.000125524;
Guided;30;30;7;1;2.6068e-05;
Guided;30;30;7;11;4.5034e-05;
Guided;30;30;7;21;9.3584e-05;
Guided;30;30;8;1;0.0125515;
Guided;30;30;8;11;0.0122173;
Guided;30;30;8;21;0.0124576;
Guided;40;40;1;1;0.000282206;
Guided;40;40;1;11;0.000282507;
Guided;40;40;1;21;0.000271446;
Guided;40;40;1;31;0.000277918;
Guided;40;40;2;1;0.00013938;
Guided;40;40;2;11;0.000153556;
Guided;40;40;2;21;0.000170939;
Guided;40;40;2;31;0.000267639;
Guided;40;40;3;1;0.000114523;
Guided;40;40;3;11;0.000127618;
Guided;40;40;3;21;0.000152344;
Guided;40;40;3;31;0.000247221;
Guided;40;40;4;1;7.2816e-05;
Guided;40;40;4;11;7.8567e-05;
Guided;40;40;4;21;0.000180587;
Guided;40;40;4;31;0.000212957;
Guided;40;40;5;1;5.896e-05;
Guided;40;40;5;11;8.9597e-05;
Guided;40;40;5;21;0.00014487;
Guided;40;40;5;31;0.000233505;
Guided;40;40;6;1;5.1677e-05;
Guided;40;40;6;11;7.8817e-05;
Guided;40;40;6;21;0.000145302;
Guided;40;40;6;31;0.000211975;
Guided;40;40;7;1;0.0123173;
Guided;40;40;7;11;0.0124056;
Guided;40;40;7;21;0.000170618;
Guided;40;40;7;31;0.000233124;
Guided;40;40;8;1;0.00551699;
Guided;40;40;8;11;0.0121965;
Guided;40;40;8;21;0.00626301;
Guided;40;40;8;31;0.00621562;
Guided;50;50;1;1;0.00053629;
Guided;50;50;1;11;0.000549596;
Guided;50;50;1;21;0.000582196;
Guided;50;50;1;31;0.000544826;
Guided;50;50;1;41;0.000550587;
Guided;50;50;2;1;0.000265145;
Guided;50;50;2;11;0.000265605;
Guided;50;50;2;21;0.000266056;
Guided;50;50;2;31;0.00034799;
Guided;50;50;2;41;0.000443858;
Guided;50;50;3;1;0.000180947;
Guided;50;50;3;11;0.000233886;
Guided;50;50;3;21;0.000236712;
Guided;50;50;3;31;0.000357467;
Guided;50;50;3;41;0.00044457;
Guided;50;50;4;1;0.000144349;
Guided;50;50;4;11;0.000160349;
Guided;50;50;4;21;0.000231993;
Guided;50;50;4;31;0.00033812;
Guided;50;50;4;41;0.000443517;
Guided;50;50;5;1;0.000110547;
Guided;50;50;5;11;0.000131124;
