method;N;M;threads;chunkSize;ExecutingTime;
Runtime;10;10;1;not defined;7.294e-06;
Runtime;10;10;2;not defined;4.608e-06;
Runtime;10;10;3;not defined;3.787e-06;
Runtime;10;10;4;not defined;3.536e-06;
Runtime;10;10;5;not defined;3.046e-06;
Runtime;10;10;6;not defined;4.688e-06;
Runtime;10;10;7;not defined;7.133e-06;
Runtime;10;10;8;not defined;4.6527e-05;
Runtime;20;20;1;not defined;3.6689e-05;
Runtime;20;20;2;not defined;2.0408e-05;
Runtime;20;20;3;not defined;1.4317e-05;
Runtime;20;20;4;not defined;2.15e-05;
Runtime;20;20;5;not defined;1.9486e-05;
Runtime;20;20;6;not defined;1.9647e-05;
Runtime;20;20;7;not defined;1.7142e-05;
Runtime;20;20;8;not defined;2.9355e-05;
Runtime;30;30;1;not defined;0.00011785;
Runtime;30;30;2;not defined;6.0243e-05;
Runtime;30;30;3;not defined;4.1447e-05;
Runtime;30;30;4;not defined;4.816e-05;
Runtime;30;30;5;not defined;3.9764e-05;
Runtime;30;30;6;not defined;3.7681e-05;
Runtime;30;30;7;not defined;4.7749e-05;
Runtime;30;30;8;not defined;3.9123e-05;
Runtime;40;40;1;not defined;0.000272358;
Runtime;40;40;2;not defined;0.000137786;
Runtime;40;40;3;not defined;0.000100217;
Runtime;40;40;4;not defined;7.518e-05;
Runtime;40;40;5;not defined;6.6834e-05;
Runtime;40;40;6;not defined;7.8246e-05;
Runtime;40;40;7;not defined;5.3279e-05;
Runtime;40;40;8;not defined;4.6506e-05;
Runtime;50;50;1;not defined;0.0005361;
Runtime;50;50;2;not defined;0.000283739;
Runtime;50;50;3;not defined;0.000191407;
Runtime;50;50;4;not defined;0.000148878;
Runtime;50;50;5;not defined;0.000143517;
Runtime;50;50;6;not defined;0.000105427;
Runtime;50;50;7;not defined;0.00209834;
Runtime;50;50;8;not defined;0.000148527;
Runtime;60;60;1;not defined;0.000949281;
Runtime;60;60;2;not defined;0.000477762;
Runtime;60;60;3;not defined;0.000322181;
Runtime;60;60;4;not defined;0.000229528;
Runtime;60;60;5;not defined;0.000265555;
Runtime;60;60;6;not defined;0.000203009;
Runtime;60;60;7;not defined;0.000200013;
Runtime;60;60;8;not defined;0.000164878;
Runtime;70;70;1;not defined;0.0015635;
Runtime;70;70;2;not defined;0.000764887;
Runtime;70;70;3;not defined;0.000539607;
Runtime;70;70;4;not defined;0.000405286;
Runtime;70;70;5;not defined;0.000607824;
Runtime;70;70;6;not defined;0.000287807;
Runtime;70;70;7;not defined;0.00067506;
Runtime;70;70;8;not defined;0.000230249;
Runtime;80;80;1;not defined;0.00215973;
Runtime;80;80;2;not defined;0.00108575;
Runtime;80;80;3;not defined;0.000811214;
Runtime;80;80;4;not defined;0.000770888;
Runtime;80;80;5;not defined;0.000461621;
Runtime;80;80;6;not defined;0.00715281;
Runtime;80;80;7;not defined;0.00726525;
Runtime;80;80;8;not defined;0.00259151;
Runtime;90;90;1;not defined;0.00322198;
Runtime;90;90;2;not defined;0.00154655;
Runtime;90;90;3;not defined;0.00113088;
Runtime;90;90;4;not defined;0.000797197;
Runtime;90;90;5;not defined;0.000644943;
Runtime;90;90;6;not defined;0.000535098;
Runtime;90;90;7;not defined;0.000581535;
Runtime;90;90;8;not defined;0.000446082;
Runtime;100;100;1;not defined;0.00420967;
Runtime;100;100;2;not defined;0.00211904;
Runtime;100;100;3;not defined;0.00145015;
Runtime;100;100;4;not defined;0.00109679;
Runtime;100;100;5;not defined;0.000924174;
Runtime;100;100;6;not defined;0.000844054;
Runtime;100;100;7;not defined;0.00066453;
Runtime;100;100;8;not defined;0.000696579;
Runtime;110;110;1;not defined;0.00561154;
Runtime;110;110;2;not defined;0.00280902;
Runtime;110;110;3;not defined;0.00188983;
Runtime;110;110;4;not defined;0.00144224;
Runtime;110;110;5;not defined;0.00116173;
Runtime;110;110;6;not defined;0.00116866;
Runtime;110;110;7;not defined;0.000845798;
Runtime;110;110;8;not defined;0.000884981;
Runtime;120;120;1;not defined;0.00761103;
Runtime;120;120;2;not defined;0.00406986;
Runtime;120;120;3;not defined;0.00292802;
Runtime;120;120;4;not defined;0.0018987;
Runtime;120;120;5;not defined;0.0015356;
Runtime;120;120;6;not defined;0.00133908;
Runtime;120;120;7;not defined;0.00119615;
Runtime;120;120;8;not defined;0.00103867;
Runtime;130;130;1;not defined;0.00927429;
Runtime;130;130;2;not defined;0.00473669;
Runtime;130;130;3;not defined;0.00319738;
Runtime;130;130;4;not defined;0.00253321;
Runtime;130;130;5;not defined;0.00191186;
Runtime;130;130;6;not defined;0.0015909;
Runtime;130;130;7;not defined;0.00139984;
Runtime;130;130;8;not defined;0.00202035;
Runtime;140;140;1;not defined;0.012139;
Runtime;140;140;2;not defined;0.00627456;
Runtime;140;140;3;not defined;0.00401034;
Runtime;140;140;4;not defined;0.00303037;
Runtime;140;140;5;not defined;0.00251867;
Runtime;140;140;6;not defined;0.0020273;
Runtime;140;140;7;not defined;0.00188588;
Runtime;140;140;8;not defined;0.00153551;
Runtime;150;150;1;not defined;0.014133;
Runtime;150;150;2;not defined;0.007722;
Runtime;150;150;3;not defined;0.00493256;
Runtime;150;150;4;not defined;0.00371592;
Runtime;150;150;5;not defined;0.00300834;
Runtime;150;150;6;not defined;0.00256456;
Runtime;150;150;7;not defined;0.00212956;
Runtime;150;150;8;not defined;0.00187562;
Runtime;160;160;1;not defined;0.0171113;
Runtime;160;160;2;not defined;0.00873158;
Runtime;160;160;3;not defined;0.00588564;
Runtime;160;160;4;not defined;0.00436014;
Runtime;160;160;5;not defined;0.00357561;
Runtime;160;160;6;not defined;0.00294755;
Runtime;160;160;7;not defined;0.00251727;
Runtime;160;160;8;not defined;0.0022644;
Runtime;170;170;1;not defined;0.0205263;
Runtime;170;170;2;not defined;0.0104929;
Runtime;170;170;3;not defined;0.00692258;
Runtime;170;170;4;not defined;0.00539137;
Runtime;170;170;5;not defined;0.00422395;
Runtime;170;170;6;not defined;0.00361859;
Runtime;170;170;7;not defined;0.00339408;
Runtime;170;170;8;not defined;0.00298122;
Runtime;180;180;1;not defined;0.0247771;
Runtime;180;180;2;not defined;0.0124957;
Runtime;180;180;3;not defined;0.00887973;
Runtime;180;180;4;not defined;0.00651131;
Runtime;180;180;5;not defined;0.00551762;
Runtime;180;180;6;not defined;0.00472497;
Runtime;180;180;7;not defined;0.00413044;
Runtime;180;180;8;not defined;0.00345232;
Runtime;190;190;1;not defined;0.0293133;
Runtime;190;190;2;not defined;0.0145943;
Runtime;190;190;3;not defined;0.0110696;
Runtime;190;190;4;not defined;0.00752989;
Runtime;190;190;5;not defined;0.00585211;
Runtime;190;190;6;not defined;0.00539032;
Runtime;190;190;7;not defined;0.00444584;
Runtime;190;190;8;not defined;0.003904;
Runtime;200;200;1;not defined;0.0334986;
Runtime;200;200;2;not defined;0.0170187;
Runtime;200;200;3;not defined;0.0113117;
Runtime;200;200;4;not defined;0.00889042;
Runtime;200;200;5;not defined;0.00682002;
Runtime;200;200;6;not defined;0.006374;
Runtime;200;200;7;not defined;0.00896527;
Runtime;200;200;8;not defined;0.00558654;
Runtime;210;210;1;not defined;0.0441613;
Runtime;210;210;2;not defined;0.0207429;
Runtime;210;210;3;not defined;0.0136756;
Runtime;210;210;4;not defined;0.0103346;
Runtime;210;210;5;not defined;0.00807017;
Runtime;210;210;6;not defined;0.00708083;
