method;N;M;threads;chunkSize;Executing time;
Static;10;10;1;1;7.254e-06;
Static;10;10;2;1;9.8925e-05;
Static;10;10;3;1;0.000128179;
Static;10;10;4;1;7.8887e-05;
Static;10;10;5;1;4.6036e-05;
Static;10;10;6;1;0.000124823;
Static;10;10;7;1;0.0121345;
Static;10;10;8;1;0.012811;
Static;20;20;1;1;3.7309e-05;
Static;20;20;1;11;3.6157e-05;
Static;20;20;2;1;0.00595368;
Static;20;20;2;11;2.0428e-05;
Static;20;20;3;1;5.1036e-05;
Static;20;20;3;11;2.0949e-05;
Static;20;20;4;1;4.8841e-05;
Static;20;20;4;11;2.0959e-05;
Static;20;20;5;1;4.1177e-05;
Static;20;20;5;11;2.1059e-05;
Static;20;20;6;1;0.00154454;
Static;20;20;6;11;3.4334e-05;
Static;20;20;7;1;0.0123421;
Static;20;20;7;11;0.0122754;
Static;20;20;8;1;0.0123664;
Static;20;20;8;11;0.0164881;
Static;30;30;1;1;0.000121988;
Static;30;30;1;11;0.000127598;
Static;30;30;1;21;0.000116768;
Static;30;30;2;1;0.000117309;
Static;30;30;2;11;0.000105687;
Static;30;30;2;21;8.3195e-05;
Static;30;30;3;1;0.000100578;
Static;30;30;3;11;4.3812e-05;
Static;30;30;3;21;8.2374e-05;
Static;30;30;4;1;0.00061632;
Static;30;30;4;11;7.7455e-05;
Static;30;30;4;21;8.3276e-05;
Static;30;30;5;1;9.0489e-05;
Static;30;30;5;11;4.4553e-05;
Static;30;30;5;21;8.3105e-05;
Static;30;30;6;1;0.00277006;
Static;30;30;6;11;6.5382e-05;
Static;30;30;6;21;8.3576e-05;
Static;30;30;7;1;0.00906021;
Static;30;30;7;11;4.4043e-05;
Static;30;30;7;21;8.2624e-05;
Static;30;30;8;1;0.0184493;
Static;30;30;8;11;0.0125085;
Static;30;30;8;21;0.012323;
Static;40;40;1;1;0.000273721;
Static;40;40;1;11;0.000272007;
Static;40;40;1;21;0.000274432;
Static;40;40;1;31;0.000282276;
Static;40;40;2;1;0.000235449;
Static;40;40;2;11;0.000183523;
Static;40;40;2;21;0.000344342;
Static;40;40;2;31;0.000260987;
Static;40;40;3;1;0.000255697;
Static;40;40;3;11;0.000154488;
Static;40;40;3;21;0.000317092;
Static;40;40;3;31;0.000221172;
Static;40;40;4;1;0.000239086;
Static;40;40;4;11;7.7073e-05;
Static;40;40;4;21;0.000143758;
Static;40;40;4;31;0.000211805;
Static;40;40;5;1;0.000113492;
Static;40;40;5;11;7.7184e-05;
Static;40;40;5;21;0.00016102;
Static;40;40;5;31;0.000225691;
Static;40;40;6;1;9.3143e-05;
Static;40;40;6;11;9.3644e-05;
Static;40;40;6;21;0.000145662;
Static;40;40;6;31;0.000211975;
Static;40;40;7;1;0.0182762;
Static;40;40;7;11;0.0123796;
Static;40;40;7;21;0.00782542;
Static;40;40;7;31;0.000235359;
Static;40;40;8;1;0.0124571;
Static;40;40;8;11;0.0122834;
Static;40;40;8;21;0.00637637;
Static;40;40;8;31;0.00700581;
Static;50;50;1;1;0.000538575;
Static;50;50;1;11;0.000535579;
Static;50;50;1;21;0.000537593;
Static;50;50;1;31;0.000548933;
Static;50;50;1;41;0.000542462;
Static;50;50;2;1;0.000399735;
Static;50;50;2;11;0.000324265;
Static;50;50;2;21;0.000414042;
Static;50;50;2;31;0.000353569;
Static;50;50;2;41;0.000440361;
Static;50;50;3;1;0.00026255;
Static;50;50;3;11;0.000264713;
Static;50;50;3;21;0.000258903;
Static;50;50;3;31;0.00032717;
Static;50;50;3;41;0.000440652;
Static;50;50;4;1;0.000184064;
Static;50;50;4;11;0.000182651;
Static;50;50;4;21;0.000252982;
Static;50;50;4;31;0.000328292;
Static;50;50;4;41;0.000448517;
Static;50;50;5;1;0.000141103;
Static;50;50;5;11;0.000120384;
Static;50;50;5;21;0.000239597;
Static;50;50;5;31;0.00033759;
Static;50;50;5;41;0.000437075;
Static;50;50;6;1;0.000253092;
Static;50;50;6;11;0.000118451;
Static;50;50;6;21;0.000222646;
Static;50;50;6;31;0.000338031;
Static;50;50;6;41;0.00045027;
Static;50;50;7;1;0.0102815;
Static;50;50;7;11;0.00026281;
Static;50;50;7;21;0.000223487;
Static;50;50;7;31;0.00033778;
Static;50;50;7;41;0.000467422;
Static;50;50;8;1;0.0122848;
Static;50;50;8;11;0.0102287;
Static;50;50;8;21;0.0102473;
Static;50;50;8;31;0.00962107;
Static;50;50;8;41;0.0097078;
Static;60;60;1;1;0.000939563;
Static;60;60;1;11;0.000921599;
Static;60;60;1;21;0.000933992;
Static;60;60;1;31;0.00110711;
Static;60;60;1;41;0.000949141;
Static;60;60;1;51;0.000989165;
Static;60;60;2;1;0.000672855;
Static;60;60;2;11;0.000556999;
Static;60;60;2;21;0.000604537;
Static;60;60;2;31;0.000477181;
