method;N;M;threads;chunkSize;ExecutingTime;
WithoutOmp;10;10;1;not defined;5e-06;
Static;10;10;1;1;7.904e-06;
Dynamic;10;10;1;1;5.56e-06;
Guided;10;10;1;1;5.009e-06;
Runtime;10;10;1;not defined;7.294e-06;
Static;10;10;2;1;6.8949e-05;
Dynamic;10;10;2;1;8.926e-06;
Guided;10;10;2;1;5.099e-06;
Runtime;10;10;2;not defined;4.608e-06;
Static;10;10;3;1;0.000115936;
Dynamic;10;10;3;1;5.62e-06;
Guided;10;10;3;1;4.299e-06;
Runtime;10;10;3;not defined;3.787e-06;
Static;10;10;4;1;6.0663e-05;
Dynamic;10;10;4;1;5.47e-06;
Guided;10;10;4;1;3.707e-06;
Runtime;10;10;4;not defined;3.536e-06;
Static;10;10;5;1;9.107e-05;
Dynamic;10;10;5;1;4.769e-06;
Guided;10;10;5;1;4.839e-06;
Runtime;10;10;5;not defined;3.046e-06;
Static;10;10;6;1;0.000838123;
Dynamic;10;10;6;1;9.678e-06;
Guided;10;10;6;1;5.681e-06;
Runtime;10;10;6;not defined;4.688e-06;
Static;10;10;7;1;0.00442873;
Dynamic;10;10;7;1;3.6128e-05;
Guided;10;10;7;1;2.3063e-05;
Runtime;10;10;7;not defined;7.133e-06;
Static;10;10;8;1;0.00107989;
Dynamic;10;10;8;1;9.628e-06;
Guided;10;10;8;1;1.2243e-05;
Runtime;10;10;8;not defined;4.6527e-05;
WithoutOmp;20;20;1;not defined;3.6e-05;
Static;20;20;1;1;5.0253e-05;
Dynamic;20;20;1;1;3.7139e-05;
Guided;20;20;1;1;3.7159e-05;
Static;20;20;1;11;4.814e-05;
Dynamic;20;20;1;11;3.6739e-05;
Guided;20;20;1;11;3.7229e-05;
Runtime;20;20;1;not defined;3.6689e-05;
Static;20;20;2;1;3.9453e-05;
Dynamic;20;20;2;1;3.225e-05;
Guided;20;20;2;1;2.0799e-05;
Static;20;20;2;11;3.3002e-05;
Dynamic;20;20;2;11;2.2753e-05;
Guided;20;20;2;11;3.1949e-05;
Runtime;20;20;2;not defined;2.0408e-05;
Static;20;20;3;1;6.433e-05;
Dynamic;20;20;3;1;1.59e-05;
Guided;20;20;3;1;1.5138e-05;
Static;20;20;3;11;3.5937e-05;
Dynamic;20;20;3;11;4.3491e-05;
Guided;20;20;3;11;3.188e-05;
Runtime;20;20;3;not defined;1.4317e-05;
Static;20;20;4;1;0.00482929;
Dynamic;20;20;4;1;7.8656e-05;
Guided;20;20;4;1;1.619e-05;
Static;20;20;4;11;2.1761e-05;
Dynamic;20;20;4;11;4.9593e-05;
Guided;20;20;4;11;2.1631e-05;
Runtime;20;20;4;not defined;2.15e-05;
Static;20;20;5;1;7.9829e-05;
Dynamic;20;20;5;1;1.2794e-05;
Guided;20;20;5;1;1.3025e-05;
Static;20;20;5;11;2.159e-05;
Dynamic;20;20;5;11;2.179e-05;
Guided;20;20;5;11;2.1861e-05;
Runtime;20;20;5;not defined;1.9486e-05;
Static;20;20;6;1;5.0023e-05;
Dynamic;20;20;6;1;1.1682e-05;
Guided;20;20;6;1;1.2092e-05;
Static;20;20;6;11;2.129e-05;
Dynamic;20;20;6;11;2.2232e-05;
Guided;20;20;6;11;3.0517e-05;
Runtime;20;20;6;not defined;1.9647e-05;
Static;20;20;7;1;0.0122483;
Dynamic;20;20;7;1;0.00246598;
Guided;20;20;7;1;2.3223e-05;
Static;20;20;7;11;3.1148e-05;
